player,total_shots,on_target,shot_accuracy_%,total,num_matches,avg_per_match,passes_under_pressure,kept_under_pressure,percent_kept,overall_score
Emilio Nsue López,1.4914885223829002,2.541775756694765,0.7044766454910092,1.053360359848739,1.3477928227857479,0.6158456648566342,7.780565616868195,7.884489611207719,1.981514255891297,2.822367695114112
Victor James Osimhen,5.1704935442607205,2.541775756694765,-0.2433596972471927,1.053360359848739,2.1209452947713703,0.17169471577810463,0.6638919625238412,0.3298292466839882,1.0711218155715332,1.4310836665428746
Evidence Makgopa,1.4914885223829002,3.1926110715577845,1.0076860255031435,2.9430250053955676,2.1209452947713703,1.5176066826827392,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,1.257941855703368
Jean-Philippe Krasso,0.5104205165488148,-0.061565502757312596,-0.26601170313468786,3.415441166782275,2.8940977667569934,1.2484242893018123,0.20475172675968933,0.3298292466839882,2.588442549437806,1.2070922284865977
Mohamed Bayo,1.0009545194658573,1.8909404418317455,0.7475973313973253,0.5809441984620318,0.574640350800125,0.8446506992304219,1.8117425519342207,1.2015208272059572,1.239847881177463,1.0992043112783498
Cristóvão Paciência Mabululo,2.717823529675507,3.843446386420804,0.5527354976181499,0.5809441984620318,0.574640350800125,0.8446506992304219,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.9069283068048719
Cédric Bakambu,1.7367555238414216,0.5892698121057068,-0.26601170313468786,2.9430250053955676,2.8940977667569934,0.9792418959208855,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.8804991555469658
Mohamed Konaté,0.2651535150902934,0.5892698121057068,0.5527354976181499,2.4706088440088605,1.3477928227857479,1.9617576317612688,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.6928258024896483
Christian Kouamé,-0.7159144907437921,-0.712400817620332,-0.8118431703032463,0.5809441984620318,1.3477928227857479,0.17169471577810463,1.5821724340521448,1.7826485475539364,2.209112365971238,0.6038007339928703
Mostafa Mohamed Ahmed Abdallah,1.2462215209243788,1.8909404418317455,0.5527354976181499,0.10852803707532467,-0.19851212118549777,1.5176066826827392,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.4628482397759609
José Correia,-0.4706474892852707,-0.061565502757312596,1.917314165539546,-0.3638881243113825,-0.19851212118549777,0.17169471577810463,0.6638919625238412,0.6203931068579779,1.8297821825046696,0.4564958772960751
Frank Magri,0.5104205165488148,-0.061565502757312596,-0.26601170313468786,1.9981926826221534,1.3477928227857479,1.5176066826827392,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.45494995530936255
Franculino Gluda Djú,-0.22538048782674935,-0.061565502757312596,0.5527354976181499,-0.3638881243113825,-0.19851212118549777,0.17169471577810463,0.8934620804059171,0.9109569670319675,1.981514255891297,0.40677969784938817
Simon Bokote Banza,0.2651535150902934,1.2401051269687262,1.235024831578848,0.10852803707532467,-0.19851212118549777,1.5176066826827392,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.35733557458302667
Ayoub El Kaabi,0.019886513631772018,1.2401051269687262,1.917314165539546,0.10852803707532467,0.574640350800125,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.3422536676478228
Sébastien Haller,1.982022525299943,1.2401051269687262,-0.06760196481891684,0.10852803707532467,0.574640350800125,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.3397225433489015
Peter Shalulile,1.7367555238414216,0.5892698121057068,-0.26601170313468786,0.10852803707532467,-0.19851212118549777,1.5176066826827392,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.2817500367135348
Gilson Benchimol Tavares,0.7556875180073361,-0.061565502757312596,-0.3568926424182528,1.053360359848739,0.574640350800125,1.5176066826827392,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.2812167628000201
Ali Sowe,0.2651535150902934,0.5892698121057068,0.5527354976181499,0.5809441984620318,0.574640350800125,0.8446506992304219,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.2728342413715039
Mihlali Samson Mayambela,-0.22538048782674935,0.5892698121057068,1.917314165539546,0.10852803707532467,0.574640350800125,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.2426867436120961
Nicolas Pépé,-0.4706474892852707,-0.712400817620332,-0.8118431703032463,0.10852803707532467,0.574640350800125,0.17169471577810463,0.8934620804059171,0.6203931068579779,1.3745859623447878,0.19426808622815422
Karim Konaté,-0.7159144907437921,-0.712400817620332,-0.8118431703032463,0.10852803707532467,0.574640350800125,0.17169471577810463,0.20475172675968933,0.3298292466839882,2.588442549437806,0.19308090531862976
Mama Samba Baldé,-0.4706474892852707,-0.061565502757312596,1.917314165539546,-0.8363042856980897,-0.9716645931711206,-1.1742172511265299,0.20475172675968933,0.3298292466839882,2.588442549437806,0.16954872959807848
Pachoio Lau Há King,-0.4706474892852707,-0.712400817620332,-0.8118431703032463,1.5257765212354462,0.574640350800125,2.190562666135057,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.1493557955553984
Aboubakar Kamara,-0.4706474892852707,-0.061565502757312596,1.917314165539546,0.10852803707532467,0.574640350800125,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.14311981957636932
Habibou Mouhamadou Diallo,0.5104205165488148,1.2401051269687262,0.8256512312024291,-0.3638881243113825,-0.19851212118549777,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.13706504933755573
